record,beat_number,qrs_sample,qrs_seconds,qrs_annotation,qrs_symbol,p_onset_sample,p_peak_sample,p_offset_sample,qrs_onset_sample,qrs_offset_sample,t_onset_sample,t_peak_sample,t_offset_sample,t_wave_type
200,1,224,0.6222222222222222,PVC,V,162,173,196,201,258,260,300,353,normal
200,2,488,1.3555555555555556,NORMAL,N,407,418,428,470,505,548,590,601,normal
200,3,689,1.913888888888889,PVC,V,634,645,669,676,739,741,759,805,normal
200,4,965,2.6805555555555554,NORMAL,N,870,892,901,947,980,1000,1011,1051,inverted
200,5,1147,3.186111111111111,PVC,V,1097,1106,1124,1133,1188,1202,1218,1267,normal
200,6,1434,3.9833333333333334,NORMAL,N,1358,1371,1384,1417,1448,,1495,1533,positive_monophasic
200,7,1608,4.466666666666667,PVC,V,1549,1572,1589,1596,1647,1660,1681,1727,normal
200,8,1883,5.230555555555555,NORMAL,N,1806,1816,1826,1866,1898,,,,
200,9,2072,5.7555555555555555,PVC,V,,,,2042,2101,2117,2138,2183,normal
200,10,2332,6.477777777777778,NORMAL,N,2253,2265,2280,2314,2346,,,,
200,11,2505,6.958333333333333,PVC,V,2448,2473,2485,2493,2539,2551,2571,2616,normal
200,12,2786,7.738888888888889,NORMAL,N,2706,2716,2740,2768,2805,,2860,2889,positive_monophasic
200,13,2988,8.3,PVC,V,,,,2949,3012,3022,3070,3120,normal
200,14,3302,9.172222222222222,NORMAL,N,3221,3245,3270,3275,3315,3370,3379,3402,inverted
200,15,3481,9.669444444444444,PVC,V,3424,3446,3462,3469,3520,3536,3554,3601,normal
200,16,3739,10.386111111111111,NORMAL,N,3675,3686,3700,3724,3755,3804,3851,3879,normal
200,17,3976,11.044444444444444,NORMAL,N,3903,3916,3928,3952,3991,4021,4062,4117,normal
200,18,4201,11.669444444444444,NORMAL,N,4147,4156,4165,4185,4218,4254,4282,4304,normal
200,19,4417,12.269444444444444,NORMAL,N,4323,4335,4346,4400,4433,4470,4509,4520,normal
200,20,4647,12.908333333333333,NORMAL,N,4570,4578,4587,4629,4662,4710,4741,4783,normal
200,21,4880,13.555555555555555,NORMAL,N,4825,4837,4852,4862,4899,4942,4978,5032,normal
200,22,5135,14.26388888888889,NORMAL,N,5053,5067,5077,5118,5152,5197,5237,5257,normal
200,23,5383,14.952777777777778,NORMAL,N,5303,5325,5346,5366,5397,5438,5468,5504,normal
200,24,5607,15.575,NORMAL,N,5528,5538,5550,5589,5621,5668,5691,5721,normal
200,25,5822,16.17222222222222,NORMAL,N,5743,5756,5778,5804,5837,5884,5911,5948,normal
200,26,6089,16.913888888888888,NORMAL,N,6000,6030,6063,6071,6105,6137,6177,6202,normal
200,27,6285,17.458333333333332,PVC,V,,,,6240,6321,6334,6358,6407,normal
200,28,6549,18.191666666666666,NORMAL,N,6465,6481,6494,6532,6561,6605,6639,6648,normal
200,29,6718,18.66111111111111,PVC,V,6668,6681,6695,6704,6753,6767,6786,6837,normal
200,30,7077,19.658333333333335,NORMAL,N,,,,7059,7095,7169,7177,7185,normal
200,31,7260,20.166666666666668,PVC,V,7203,7217,7239,7246,7299,7306,7335,7389,normal
200,32,7456,20.711111111111112,PVC,V,,,,7413,7472,7502,7519,7574,inverted
200,33,7900,21.944444444444443,NORMAL,N,7814,7846,7876,7882,7916,7943,7975,7980,biphasic_negative_positive
200,34,8073,22.425,PVC,V,8017,8030,8052,8060,8109,8123,8146,8193,normal
200,35,8395,23.319444444444443,NORMAL,N,8320,8330,8342,8379,8407,8437,8453,8491,normal
200,36,8576,23.822222222222223,PVC,V,,,,8542,8597,,8603,8646,positive_monophasic
200,37,8726,24.238888888888887,PVC,V,,,,8694,8738,8752,8792,8848,inverted
200,38,9171,25.475,NORMAL,N,9085,9098,9114,9140,9187,,9242,9282,positive_monophasic
200,39,9383,26.06388888888889,PVC,V,9305,9340,9354,9361,9419,9435,9463,9515,normal
200,40,9711,26.975,NORMAL,N,9622,9635,9649,9692,9729,9781,9788,9821,inverted
200,41,9964,27.677777777777777,NORMAL,N,9878,9890,9903,9946,9979,10014,10057,10112,normal
200,42,10198,28.32777777777778,NORMAL,N,,,,10180,10212,10242,10288,10308,normal
200,43,10437,28.991666666666667,NORMAL,N,10357,10368,10377,10412,10453,10487,10524,10570,normal
200,44,10675,29.65277777777778,NORMAL,N,,,,10656,10692,10735,10770,10787,normal
